Label,Confidence,Center_X,Center_Y,X1,Y1,X2,Y2
Hole,0.9408382773399353,786,279,743,232,830,326
Hole,0.938444197177887,737,173,693,125,782,221
Hole,0.9366599917411804,622,376,581,331,663,421
Hole,0.9365350604057312,469,268,428,223,510,314
Hole,0.9359534382820129,518,370,477,325,559,415
Hole,0.9354979991912842,573,272,531,226,615,319
Hole,0.9354591369628906,417,365,377,320,458,410
Hole,0.9353557229042053,678,275,636,229,721,322
Hole,0.9346040487289429,727,379,685,333,770,425
Hole,0.9337839484214783,368,265,329,219,408,311
Hole,0.9330551624298096,318,360,279,316,357,405
Hole,0.930861234664917,628,171,586,123,671,219
Hole,0.9305090308189392,269,261,230,216,308,307
Hole,0.9295197129249573,421,167,380,120,463,214
Hole,0.9289831519126892,523,169,482,121,565,217
Hole,0.9285779595375061,849,176,804,126,894,226
Hole,0.9248291254043579,320,163,280,117,360,210
Hole,0.9225901961326599,172,258,134,214,211,302
Hole,0.9214068651199341,221,161,182,115,261,208
Hole,0.9204052090644836,123,159,84,113,163,205
Hole,0.9200690388679504,465,464,427,419,504,509
Hole,0.9192745089530945,366,458,328,414,405,502
Hole,0.9187095165252686,568,470,529,427,608,514
Hole,0.9166295528411865,222,355,185,310,259,400
